Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation
To go on an adventure,Variety of activities at destination,Food,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To go on an adventure,Variety of activities at destination,Meet Locals,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To go on an adventure,Variety of activities at destination,City,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To look at and appreciate beautiful places,Variety of activities at destination,Food,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To look at and appreciate beautiful places,Variety of activities at destination,Meet Locals,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To look at and appreciate beautiful places,Variety of activities at destination,City,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To share travel stories and view with friends and family back home,Variety of activities at destination,Food,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To share travel stories and view with friends and family back home,Variety of activities at destination,Meet Locals,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To share travel stories and view with friends and family back home,Variety of activities at destination,City,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To meet new people,Budget,Road Trip,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Beach,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Swim,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Island,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Boat,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Food,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Camp,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Kayak,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Zoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Skydive,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Tattoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Visit Surrounding Areas,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To meet new people,Budget,Hike,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Road Trip,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Beach,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Swim,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Island,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Boat,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Food,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Camp,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Kayak,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Zoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Skydive,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Tattoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Visit Surrounding Areas,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To see the wonders of nature,Budget,Hike,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Road Trip,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Beach,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Swim,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Island,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Boat,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Food,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Camp,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Kayak,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Zoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Skydive,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Tattoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Visit Surrounding Areas,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Budget,Hike,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Road Trip,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Beach,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Swim,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Island,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Boat,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Food,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Camp,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Kayak,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Zoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Skydive,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Tattoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Visit Surrounding Areas,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To relax and escape work and responsibilities,Budget,Hike,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Road Trip,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Beach,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Swim,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Island,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Boat,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Food,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Camp,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Kayak,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Zoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Skydive,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Tattoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Visit Surrounding Areas,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To go on an adventure,Budget,Hike,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Road Trip,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Beach,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Swim,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Island,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Boat,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Food,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Camp,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Kayak,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Zoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Skydive,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Tattoo,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Visit Surrounding Areas,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To look at and appreciate beautiful places,Budget,Hike,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture,Variety of activities at destination,Christmas Market,An old city with interesting architecture,4,Female,Yes,7,6,4,6,4,Austria/Germany
To go on an adventure,Variety of activities at destination,Christmas Market,An old city with interesting architecture,4,Female,Yes,7,6,4,6,4,Austria/Germany
To look at and appreciate beautiful places,Variety of activities at destination,Christmas Market,An old city with interesting architecture,4,Female,Yes,7,6,4,6,4,Austria/Germany
To spend quality time with family/friends,Budget,Ski,An old city with interesting architecture,2,Male,Yes,3,6,2,4,4,Austria/Germany
To explore architecture and history,Budget,Ski,An old city with interesting architecture,2,Male,Yes,3,6,2,4,4,Austria/Germany
To go on an adventure,Budget,Ski,An old city with interesting architecture,2,Male,Yes,3,6,2,4,4,Austria/Germany
To see the wonders of nature,Aesthetic of destination,Sightsee,An old city with interesting architecture,4,Male,Yes,4,6,3,5,6,Austria/Germany
To relax and escape work and responsibilities,Aesthetic of destination,Sightsee,An old city with interesting architecture,4,Male,Yes,4,6,3,5,6,Austria/Germany
To spend quality time with family/friends,Aesthetic of destination,Sightsee,An old city with interesting architecture,4,Male,Yes,4,6,3,5,6,Austria/Germany
To look at and appreciate beautiful places,Aesthetic of destination,Sightsee,An old city with interesting architecture,4,Male,Yes,4,6,3,5,6,Austria/Germany
To go on an adventure,Proximity to nature,Relax,An overnight backpacking trip on a volcano,4,Male,No,6,3,4,4,4,Argentina/Brazil
To go on an adventure,Proximity to nature,Beach,An overnight backpacking trip on a volcano,4,Male,No,6,3,4,4,4,Argentina/Brazil
To look at and appreciate beautiful places,Budget,Hike,An overnight backpacking trip on a volcano,4,Male,Yes,5,2,2,6,2,United States
To look at and appreciate beautiful places,Budget,Walk,An overnight backpacking trip on a volcano,4,Male,Yes,5,2,2,6,2,United States
To look at and appreciate beautiful places,Budget,Explore,An overnight backpacking trip on a volcano,4,Male,Yes,5,2,2,6,2,United States
To look at and appreciate beautiful places,Budget,Food,An overnight backpacking trip on a volcano,4,Male,Yes,5,2,2,6,2,United States
To go on an adventure,Proximity to other destinations,Sunset,An overnight backpacking trip on a volcano,3,Male,Yes,7,4,7,3,2,United States
To go on an adventure,Proximity to other destinations,Stargaze,An overnight backpacking trip on a volcano,3,Male,Yes,7,4,7,3,2,United States
To relax and escape work and responsibilities,Budget,Beach,An all-inclusive resort,3,Male,Yes,6,5,2,4,4,United States
To relax and escape work and responsibilities,Budget,Concert,An all-inclusive resort,3,Male,Yes,6,5,2,4,4,United States
To relax and escape work and responsibilities,Budget,Theatre,An all-inclusive resort,3,Male,Yes,6,5,2,4,4,United States
To spend quality time with family/friends,Budget,Beach,An all-inclusive resort,3,Male,Yes,6,5,2,4,4,United States
To spend quality time with family/friends,Budget,Concert,An all-inclusive resort,3,Male,Yes,6,5,2,4,4,United States
To spend quality time with family/friends,Budget,Theatre,An all-inclusive resort,3,Male,Yes,6,5,2,4,4,United States
Work or business,Budget,Beach,An all-inclusive resort,3,Male,Yes,6,5,2,4,4,United States
Work or business,Budget,Concert,An all-inclusive resort,3,Male,Yes,6,5,2,4,4,United States
Work or business,Budget,Theatre,An all-inclusive resort,3,Male,Yes,6,5,2,4,4,United States
To see the wonders of nature,Variety of activities at destination,Snowboard,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To see the wonders of nature,Variety of activities at destination,Sightsee,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To see the wonders of nature,Variety of activities at destination,Hike,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To see the wonders of nature,Variety of activities at destination,Friends,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To spend quality time with family/friends,Variety of activities at destination,Snowboard,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To spend quality time with family/friends,Variety of activities at destination,Sightsee,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To spend quality time with family/friends,Variety of activities at destination,Hike,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To spend quality time with family/friends,Variety of activities at destination,Friends,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To go on an adventure,Variety of activities at destination,Snowboard,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To go on an adventure,Variety of activities at destination,Sightsee,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To go on an adventure,Variety of activities at destination,Hike,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To go on an adventure,Variety of activities at destination,Friends,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To look at and appreciate beautiful places,Variety of activities at destination,Snowboard,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To look at and appreciate beautiful places,Variety of activities at destination,Sightsee,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To look at and appreciate beautiful places,Variety of activities at destination,Hike,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To look at and appreciate beautiful places,Variety of activities at destination,Friends,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To see the wonders of nature,Aesthetic of destination,Beach,An old city with interesting architecture,4,Female,Yes,6,2,5,6,7,United States
To see the wonders of nature,Aesthetic of destination,Food,An old city with interesting architecture,4,Female,Yes,6,2,5,6,7,United States
To explore architecture and history,Aesthetic of destination,Beach,An old city with interesting architecture,4,Female,Yes,6,2,5,6,7,United States
To explore architecture and history,Aesthetic of destination,Food,An old city with interesting architecture,4,Female,Yes,6,2,5,6,7,United States
To go on an adventure,Aesthetic of destination,Beach,An old city with interesting architecture,4,Female,Yes,6,2,5,6,7,United States
To go on an adventure,Aesthetic of destination,Food,An old city with interesting architecture,4,Female,Yes,6,2,5,6,7,United States
To look at and appreciate beautiful places,Aesthetic of destination,Beach,An old city with interesting architecture,4,Female,Yes,6,2,5,6,7,United States
To look at and appreciate beautiful places,Aesthetic of destination,Food,An old city with interesting architecture,4,Female,Yes,6,2,5,6,7,United States
To go on an adventure,Time,Temple,An overnight backpacking trip on a volcano,2,Male,Yes,6,5,3,4,2,Vietnam/Cambodia/Thailand
To go on an adventure,Time,Culture,An overnight backpacking trip on a volcano,2,Male,Yes,6,5,3,4,2,Vietnam/Cambodia/Thailand
To go on an adventure,Time,Food,An overnight backpacking trip on a volcano,2,Male,Yes,6,5,3,4,2,Vietnam/Cambodia/Thailand
To spend quality time with family/friends,Time,Snowshoe,A hang gliding ride over a lush field,4,Male,Yes,6,6,6,5,6,Canada/Iceland/Russia
To spend quality time with family/friends,Time,Food,A hang gliding ride over a lush field,4,Male,Yes,6,6,6,5,6,Canada/Iceland/Russia
To spend quality time with family/friends,Time,Sauna,A hang gliding ride over a lush field,4,Male,Yes,6,6,6,5,6,Canada/Iceland/Russia
To spend quality time with family/friends,Time,Hike,A hang gliding ride over a lush field,4,Male,Yes,6,6,6,5,6,Canada/Iceland/Russia
To spend quality time with family/friends,Time,Party,A hang gliding ride over a lush field,4,Male,Yes,6,6,6,5,6,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Bike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Shop,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,Bike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,Shop,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To relax and escape work and responsibilities,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,Bike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,Shop,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To go on an adventure,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,Bike,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,Shop,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To look at and appreciate beautiful places,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To see the wonders of nature,Budget,Hike,An old city with interesting architecture,3,Female,Yes,2,5,2,6,6,Canada/Iceland/Russia
To see the wonders of nature,Budget,Friends,An old city with interesting architecture,3,Female,Yes,2,5,2,6,6,Canada/Iceland/Russia
To spend quality time with family/friends,Budget,Hike,An old city with interesting architecture,3,Female,Yes,2,5,2,6,6,Canada/Iceland/Russia
To spend quality time with family/friends,Budget,Friends,An old city with interesting architecture,3,Female,Yes,2,5,2,6,6,Canada/Iceland/Russia
To go on an adventure,Budget,Hike,An old city with interesting architecture,3,Female,Yes,2,5,2,6,6,Canada/Iceland/Russia
To go on an adventure,Budget,Friends,An old city with interesting architecture,3,Female,Yes,2,5,2,6,6,Canada/Iceland/Russia
To meet new people,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To meet new people,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To meet new people,Variety of activities at destination,Cafes,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To meet new people,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To meet new people,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To meet new people,Variety of activities at destination,City,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Cafes,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Beach,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,City,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To learn more about a language or a culture,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To learn more about a language or a culture,Variety of activities at destination,Run,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To learn more about a language or a culture,Variety of activities at destination,Cafes,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To learn more about a language or a culture,Variety of activities at destination,Food,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
