Timestamp	Reason to Travel	Important Factors for Trip Planning	Most Important Factor for Trip Planning	Have you traveled outside of your home country before?	Favorite Destination	Why was it your favorite?	Favorite Activities	How many people did you travel with?	Overall, how satisfied were you with your favorite destination?	Least Favorite Destination	Why was it your least favorite?	Least Favorite Activitie	How many people did you travel with?	Overall, how satisfied were you with your LEAST favorite destination?	Most Appealing Destination	Ideal Group Size	Are you comfortable flying on a plane?	Gender	Student	Have you been on exchange in the past or plan on going in the future?	If you answered yes to above, which city were you going to go to?	Openness	Conscientiousness	Extraversion	Agreeableness	Neuroticism
12/4/2020 2:29:48	To look at and appreciate beautiful places	Variety of activities at destination	Variety of activities at destination	Yes	Prague, Czech Republic		dinner, sightseeing, drinks	4	6						An overnight backpacking trip on a volcano	4	Yes	Female	Yes	No		6	5	5	6	5
12/4/2020 2:30:08	To spend quality time with family/friends	Time	Time	Yes	Algonquin Park		Snowshoeing, cooking, sauna, hiking, party games	5	6	Ski Resort		Ski	1	5	A hang gliding ride over a lush field	4	Yes	Male	Yes	No		6	6	6	5	6
12/4/2020 2:31:55	To go on an adventure	Proximity to other destinations	Proximity to other destinations	Yes	San Diego / Joshua Tree NP		Chasing sunsets, stargazing	5	6	Uplands Ski Resort		Skiing	2	2	An overnight backpacking trip on a volcano	3	Yes	Male	Yes	No		7	4	7	3	2
12/4/2020 2:33:00	To meet new people	Variety of activities at destination	Variety of activities at destination	Yes	Paris		Attended a concert, sight-seeing, art galleries & museums, trying out restaurants, meeting new people	4	7	Brussels 		The first I went there I went with people who clearly had different expectations for the trip which made it unpleasant, and the second time I went there was for working and I didn’t like it because I didn’t get to enjoy it from a tourist perspective 	3	5	An old city with interesting architecture	3	Yes	Female	Yes	Yes	I would love to go to London to study	7	3	4	5	5
12/4/2020 2:39:06	To relax and escape work and responsibilities	Budget	Budget	Yes	St lucia		Banana plantation, mud bath in sulphur springs, swim in waterfall	5	7	Dominican republic		Swim, beach, snorkling	5	4	An all-inclusive resort	5	Yes	Female	Yes	No		5	6	5	4	6
12/4/2020 2:45:07	To go on an adventure	Variety of activities at destination	Variety of activities at destination	Yes	Bali		Surffing, swimming, hiking, exploring nature	1	5	Dubai			1	4	A relaxing day at the beach	2	Yes	Female	Yes	Yes	Lund	6	5	6	7	3
12/4/2020 2:45:23	To look at and appreciate beautiful places	Aesthetic of destination	Aesthetic of destination	Yes	Norway		Hiking, kayaking, visit museum	4	7	Rimini, Italy		Going to the beach, partying	5	4	An overnight backpacking trip on a volcano	4	Yes	Female	Yes	Yes	Lund, Sweden	5	4	5	5	7
12/4/2020 2:53:41	To meet new people, To see the wonders of nature, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Aesthetic of destination	Budget	Yes	Egypt		visit family, visit historical world wonders, beaches, restaurants, museums, cinema	5	7	Budapest		bus tour, walking tour, restaurants, concert	3	5	A hang gliding ride over a lush field	4	Yes	Male	Yes	No		4	4	4	4	3
12/4/2020 2:55:03	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Time, Variety of activities at destination, Aesthetic of destination, Travel group size	Budget	Yes	Haven’t travelled too much to answer 😩 haven’t found a country that I loved travelling to! 					Amsterdam		Recreational drugs	5	3	A hang gliding ride over a lush field	4	Yes	Female	Yes	No		6	6	5	7	5
12/4/2020 2:56:28	To see the wonders of nature, To spend quality time with family/friends, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Time	Budget	Yes	Buenos Aires		I have eaten well, watched football and, drunk wine	2	7	Paris		Saw rats everywhere	3	3	An overnight backpacking trip on a volcano	4	Yes	Male	Yes	Yes	Lund	3	6	3	5	2
12/4/2020 2:59:10	To relax and escape work and responsibilities, To spend quality time with family/friends, Work or business	Budget, Time	Budget	Yes	Los Angeles 		Beach, explore movie sets, concerts	1	7	Tobermory		Literally nothing	4	1	An all-inclusive resort	3	Yes	Male	Yes	No		6	5	2	4	4
12/4/2020 2:59:11	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Aesthetic of destination	Budget	Yes	Japan		Visiting temples, eating, shopping	3	6	Idk					An all-inclusive resort	2	Yes	Female	Yes	Yes	Singapore	5	7	2	6	5
12/4/2020 3:00:43	To see the wonders of nature, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Proximity to nature	Yes	Kauai, Hawaii		Hiking, swimming, surfing, helicopter tour	4	7						An overnight backpacking trip on a volcano	2	Yes	Male	Yes	No		4	6	2	5	6
12/4/2020 3:00:53	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Travel group size	Time	Yes	London, UK		Visit friends, chill, visit landmarks, eat british food	3	7	Barcelona, Spain (if I had to choose)		Chill, visit landmarks, eat spanish food	4	5	A relaxing day at the beach	4	Yes	Male	Yes	Yes	Amsterdam, Netherlands	6	6	4	6	2
12/4/2020 3:01:21	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Proximity to nature	Proximity to nature	Yes	taiwan		cycle	1	7	orlando		so much driving, no nature	5	3	An overnight backpacking trip on a volcano	1	Yes	Female	Yes	No		5	4	3	6	2
12/4/2020 3:03:57	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Travel group size	Variety of activities at destination	Yes	vietnam		eat, sightsee, explore, motorbike, hike, take pictures, clubbing	5	7	Johor Bahru		Shop	3	3	An overnight backpacking trip on a volcano	4	Yes	Male	Yes	Yes	Singapore	6	7	5	6	2
12/4/2020 3:04:51	To meet new people, To see the wonders of nature, To spend quality time with family/friends, To explore architecture and history	Budget, Time, Variety of activities at destination, Aesthetic of destination, Travel group size	Variety of activities at destination	Yes	New York		Visit museums, go to see the main sightseeings, search for peculiar bars and restaurants	5	6						A hang gliding ride over a lush field	4	Yes	Male	Yes	Yes	Canada	5	6	5	7	2
12/4/2020 3:10:42	To meet new people, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure	Budget, Time, Variety of activities at destination, Aesthetic of destination, Travel group size	Travel group size	Yes	China		eat, eat food, order food	5	7	The maritimes in atlantic canada		not much variety in food, but still with great people	4	5	A relaxing day at the beach	5	Yes	Female	No	Yes	Beijing	5	3	3	5	2
12/4/2020 3:13:11	To see the wonders of nature, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Aesthetic of destination, Travel group size	Variety of activities at destination	Yes	California, USA		Snowboarding, sight-seeing, hiking, seeing friends	4	7	Quebec City		Sightseeing	5	3	An all-inclusive resort	5	Yes	Male	Yes	No		6	5	5	5	4
12/4/2020 3:15:08	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Proximity to nature	Budget	Yes	Geneva		Walked around, went to the UN, explored with friends	5	7	D: idk if I can answer that		Sorry ):			An overnight backpacking trip on a volcano	2	Yes	Female	Yes	Yes	Leer (Germany)	4	3	3	3	3
12/4/2020 3:15:11	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Budget	Yes	Iceland or Morocco (extreme climates)		Road trip, sight seeing, activities exclusive to the climate ie sandboarding or walking on ice etc	5	7	Edinburgh		Things I would do as part of my normal lifestyle 	2	5	A relaxing day at the beach	3	Yes	Female	Yes	Yes	Lund, Sweden	5	7	2	6	6
12/4/2020 3:16:14	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Budget	Yes	Vietnam		Eat, lay on the beach, discover wonders of nature	5	7	Las Vegas		Nothing, thats why i didnt like it	3	4	An all-inclusive resort	4	Yes	Male	Yes	No		6	6	6	6	6
12/4/2020 3:16:21	To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Time, Aesthetic of destination, Travel group size, Safety	Safety	Yes	Senegal		Humanitarian work	3	7	Florida		Stay at a resort	5	1	An overnight backpacking trip on a volcano	2	Yes	Male	Yes	No		5	6	4	7	1
12/4/2020 3:22:24	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Time	Yes	Lofoten		Hiking, watching the northern lights, driving	5	7	London, England		Explore old sites, walking tours, Buckingham palace	5	3	An overnight backpacking trip on a volcano	2	Yes	Female	Yes	Yes	Trondheim	6	4	3	5	3
12/4/2020 3:27:35	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Variety of activities at destination, Proximity to nature	Proximity to nature	Yes	Germany		Toured the city centre, Explored the nightlife, toured the science centre, skiied in the mountains, ran through the countryside	2	6	All inclusive resort in Mexico		Ate, Sat by the beach, toured Mayan ruins	5	3	An overnight backpacking trip on a volcano	4	Yes	Female	Yes	Yes	Lund, Sweden	6	2	5	7	4
12/4/2020 3:28:39	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history	Budget, Proximity to other destinations, Time, Variety of activities at destination	Budget	Yes	Cuba		Sightsee, relax, go to beach	5	6	Tadoussac, Qc		Whale watching and literally nothing	5	2	An all-inclusive resort	5	Yes	Male	Yes	No		4	6	3	3	2
12/4/2020 3:29:15	To meet new people, To learn more about a language or a culture, To go on an adventure	Budget, Proximity to other destinations	Budget	Yes	Philippines 		Boat tours, hiking, scuba diving	5	7	Savannah		Museums, walking tours in hot weather	2	5	An overnight backpacking trip on a volcano	4	Yes	Female	No	Yes	Singapore	6	3	5	6	3
12/4/2020 3:29:47	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home, FOOD	Budget, Proximity to other destinations, Time, Variety of activities at destination	Budget	Yes	Prague		Eat, go to clubs, and explore the beautiful city	3	7	Amsterdam		Explore all over 	2	3	An old city with interesting architecture	3	Yes	Female	Yes	Yes	Middelburg 	4	5	4	5	7
12/4/2020 3:32:57	To meet new people, To see the wonders of nature, To relax and escape work and responsibilities, To go on an adventure	Budget, Time, Aesthetic of destination, Travel group size	Time	Yes	Vietnam		Eat a lot of ban mhi and pho	5	7	Manila		Get stuck in a lot of traffic, family reunion	1	5	A relaxing day at the beach	3	Yes	Male	Yes	Yes	Singapore	5	3	3	6	3
12/4/2020 3:44:41	To meet new people, To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Aesthetic of destination	Aesthetic of destination	Yes	Switzerland		Hiking, taking the train, go to a cottage with friends, road trip, chocolate factory tour	5	7	Amsterdam		School work,  boat tour, flea market	2	2	An all-inclusive resort	3	Yes	Female	Yes	Yes	Lausanne	3	7	3	1	6
12/4/2020 3:45:04	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Variety of activities at destination	Yes	Germany		learn about history, eat, photography, meet with friend there, visit tourist destinations with family	3	6	Boston		visit university, too large group, was young at the time, coach bus road trip	5	3	An old city with interesting architecture	4	Yes	Male	Yes	No	Was going to Denmark until it got cancelled	6	7	6	5	6
12/4/2020 3:46:01	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination, Travel group size	Variety of activities at destination	Yes	NY		Broadway, museums, food, central park, nightlife	5	5	Idk					A big metropolitan city	4	Yes	Male	Yes	No		5	3	7	5	6
12/4/2020 3:51:05	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home, ART and ENERGY	Budget, Proximity to other destinations, Time	Aesthetic of destination	Yes	Iceland		Hike	2	7	Rome, Italy		Bad energy. Oversaturated with tourism. Dirty.	2	4	An overnight backpacking trip on a volcano	2	Yes	Non-Binary	Yes	Yes	Paris	7	7	5	4	4
12/4/2020 3:51:29	To see the wonders of nature, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Time	Time	Yes	Rome		Visit the city	5	7	Bratislava			5	4	An old city with interesting architecture	4	Yes	Male	No	Yes	Lund	4	5	4	5	3
12/4/2020 3:53:01	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Budget	Yes	Morocco		Camel Riding, Mountain Hikes, Eating good food	2	6	Cuba		Just chilling and not much to do at the resort	5	4	An overnight backpacking trip on a volcano	4	Yes	Male	Yes	Yes	Madrid	6	5	4	5	3
12/4/2020 3:55:13	To relax and escape work and responsibilities	Budget, Time, Variety of activities at destination, Aesthetic of destination	Aesthetic of destination	Yes	Antigua		Lay on the beach, explore, drink way too many mimosas	5	7	The petrified forest in Arizona		Hiked through a desert	5	3	A relaxing day at the beach	2	Yes	Female	No	Yes	I went to Montpellier and Paris back in 2015 on exchange	6	2	6	6	3
12/4/2020 3:57:02	To learn more about a language or a culture, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination	Variety of activities at destination	Yes	Vienna Austria 		Went to Christmas markets. Yep that’s all we did it was amazing		7	The island of Crete 		An overnight ferry to the island, honestly I just remember being in a bus a lot and not seeing much 	5	4	An old city with interesting architecture	4	Yes	Female	Yes	No	Berlin 	7	6	4	6	4
12/4/2020 4:00:39	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Proximity to nature, Travel group size, Environmental impact of trip (e.g emissions from air travel)	Proximity to nature	Yes	Costa Rica		Hiking, surfing, swimming 	3	6						An overnight backpacking trip on a volcano	3	Yes	Female	Yes	Yes		5	5	4	4	4
12/4/2020 4:17:20	To relax and escape work and responsibilities, To spend quality time with family/friends, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination	Variety of activities at destination	Yes	Paris		Sightsee, go to museums, eat, go to a football match, shop	3	7	Chicago		Go to a museum, visit family	1	4	An all-inclusive resort	3	Yes	Female	Yes	No		3	3	2	2	4
12/4/2020 4:20:46	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Time	Yes	Barcelona		parks, try local food, historical monument seeing, walk around the city, beach	2	5	Portland, Oregon		ate food, went shopping, lined up for way too long for a club and didn't even get in	3	3	A big metropolitan city	1	Yes	Female	Yes	No		6	5	4	3	3
12/4/2020 4:20:48	To spend quality time with family/friends, To explore architecture and history, To go on an adventure	Proximity to other destinations, Time, Variety of activities at destination, Aesthetic of destination	Aesthetic of destination	Yes	Taiwan		Sightseeing, Scuba Diving	5	6	Paris		General Sightseeing	3	2	A big metropolitan city	3	Yes	Male	Yes	No		6	1	5	7	5
12/4/2020 4:20:52	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Variety of activities at destination	Yes	 Andalusia (Marbella, Malaga, Granada, Seville, Cordoba)		Eat tapas, visit historical sites, go to the seaside, walk around the old town, enjoy the sunshine	3	6						An old city with interesting architecture	4	Yes	Female	Yes	No		6	4	5	6	3
12/4/2020 4:23:21	To see the wonders of nature, To learn more about a language or a culture, To spend quality time with family/friends, To explore architecture and history, To look at and appreciate beautiful places	Time, Variety of activities at destination, accessible transit, I love me some trains	Time	Yes	New York		Visited Friends, Watched a Play, saw pretty buildings, Went Clubbing	1	7	Faro, Portugal		went to a mediocre beach, saw a church, struggled to speak portugese, ate seafood, ran out activies for day 2	2	4	An old city with interesting architecture	2	Yes	Male	No	No		6	2	5	6	2
12/4/2020 4:24:36	To see the wonders of nature, To learn more about a language or a culture, To go on an adventure, To look at and appreciate beautiful places	Budget, Travel group size	Budget	Yes	Switzerland		Hiking, eat food	5	6	France		Walk on beach 	2	3	A relaxing day at the beach	3	Yes	Male	No	Yes	Switzerland	5	6	3	6	5
12/4/2020 4:32:26	To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Variety of activities at destination	Yes	Malta		Visited family, saw the sights, ate	5	7	Brno, CZ		Lied in lawn chairs, walked around	2	2	An overnight backpacking trip on a volcano	4	Yes	Male	Yes	No		6	2	5	4	6
12/4/2020 4:33:52	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To go on an adventure, To look at and appreciate beautiful places	Budget, Time, Variety of activities at destination, Aesthetic of destination, Travel group size	Variety of activities at destination	Yes	Rome		Eat, Sightsee, Walk, Photography, 	3	6	Detroit		Nothing	1	3	A relaxing day at the beach	4	Yes	Male	Yes	No		6	2	4	5	5
12/4/2020 4:34:54	To learn more about a language or a culture, To spend quality time with family/friends, To explore architecture and history, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Proximity to nature, Travel group size	Budget	Yes	Kuala Lumpur, Malaysia		Night Market, Street Food, Walked Around City, Day Trip another town, Local Festival, Zoo, Bar, Karaoke	5	6	Phuket, Thailand		Dinner, Night Market, Boat Tour, Walking Tour	4	3	An overnight backpacking trip on a volcano	4	Yes	Male	Yes	Yes	Singapore	5	5	3	5	6
12/4/2020 4:35:14	To learn more about a language or a culture, To spend quality time with family/friends, To explore architecture and history	Budget, Variety of activities at destination	Variety of activities at destination	Yes	Tunisia 		Explored , indulged in cultural activities , swam	5	5	no where 		^	2	2	An old city with interesting architecture	5	Yes	Female	Yes	No		5	5	7	3	4
12/4/2020 4:45:02	To see the wonders of nature, To learn more about a language or a culture, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination, Travel group size	Budget	Yes	Philippines		Sight seeing, visit family	3	6						A big metropolitan city	4	Yes	Male	Yes	No		6	4	6	7	3
12/4/2020 4:53:14	To see the wonders of nature, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Proximity to nature, Aesthetic of destination	Aesthetic of destination	Yes	San Diego, US 		sat on the beach, drank	4	7	Utah, US 		Mars Rover robotics competition 	5	2	An old city with interesting architecture	4	Yes	Female	Yes	No		6	2	5	6	7
12/4/2020 4:57:33	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature	Budget	Yes	Berlin		Food, culture, history, underground clubs	1	6	N/a		N/a	1	1	An overnight backpacking trip on a volcano	2	Yes	Female	Yes	No		5	2	5	6	4
12/4/2020 5:14:15	To meet new people, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places, Art museums/galleries	Budget, Time, Aesthetic of destination, Travel group size	Budget	Yes	Italy		Swimming, hiking, sightseeing, eating	5	7						An old city with interesting architecture	4	Yes	Male	Yes	No		7	5	6	4	5
12/4/2020 5:17:04	To meet new people, To see the wonders of nature, To learn more about a language or a culture, To relax and escape work and responsibilities, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Proximity to other destinations, Time, Proximity to nature, Travel group size	Time	Yes	Galapagos Islands		Snorkel, hike, see wildlife, eat local food, see local vegetation, explore various islands	2	7			Vermont	5	5	An overnight backpacking trip on a volcano	2	Yes	Female	Yes	Yes	Brisbane but no longer bc rip covid :(	6	5	4	4	2
12/4/2020 5:24:03	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination, Travel group size	Aesthetic of destination	Yes	Costa Rica 		Hiked, went to the beach, sight saw, saw monkeys, went on a ship to an island, enjoyed the food 	3	7	Italy 		We stopped there in between travelling and walked around the main city, we ate gelato 	3	3	An overnight backpacking trip on a volcano	2	Yes	Female	Yes	No		7	6	3	5	2
12/4/2020 5:25:15	To see the wonders of nature, To learn more about a language or a culture, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places, To share travel stories and view with friends and family back home	Budget, Time, Variety of activities at destination, Aesthetic of destination, Travel group size	Time	Yes	Maui,  Hawaii		Surfing, hiking, snorkelling, see nature	5	6	Paris		Sightseeing, visited museums	3	3	An overnight backpacking trip on a volcano	4	Yes	Female	Yes	Yes	Madrid	5	6	3	3	5
12/4/2020 5:29:57	To see the wonders of nature, To relax and escape work and responsibilities, To spend quality time with family/friends, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination, Travel group size	Time	Yes	Nepal!		Had a placement at a local hospital, started with a host family	1	7	None;		Impossible to have a least favorite place to travel!	1	6	An old city with interesting architecture	1	Yes	Male	Yes	No		6	5	3	5	3
12/4/2020 5:38:21	To see the wonders of nature, To relax and escape work and responsibilities, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature, Aesthetic of destination	Budget	Yes	Iceland		hike, snorkel, drive, camp	1	6	Rome		museums, walk around, eat	1	4	An all-inclusive resort	2	Yes	Female	Yes	Yes	Lund (hi subhan)	6	6	5	5	2
12/4/2020 5:39:07	To see the wonders of nature, To spend quality time with family/friends, To go on an adventure	Budget, Time, Variety of activities at destination	Variety of activities at destination	Yes	New Zealand		Tours, party, eat	2	1						An overnight backpacking trip on a volcano	4	Yes	Male	No	No		6	4	5	4	2
12/4/2020 5:47:32	To see the wonders of nature, To learn more about a language or a culture, To spend quality time with family/friends, To explore architecture and history, To go on an adventure, To look at and appreciate beautiful places	Budget, Proximity to other destinations, Time, Variety of activities at destination, Proximity to nature	Variety of activities at destination	Yes	Hawaii		Visit beaches, historical places, hiked, surfed, ate at highly local restaurants, island hopped 	4	7	Mexico		Beaches, ate at local restaurants, visited tourist attractions	4	5	An overnight backpacking trip on a volcano	4	Yes	Female	Yes	No		6	7	3	4	6
12/4/2020 6:03:30	To see the wonders of nature	Budget, Variety of activities at destination, Aesthetic of destination	Variety of activities at destination	Yes	India		Sightseeing, eating, hiking	1	7	Cuba		Partying, sightseeing, relaxing at beach 	5	3	An all-inclusive resort	2	Yes	Male	No	No		7	7	5	7	5
