Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation,
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Aesthetic of destination,Hike; Beach; Sightsee; Animals; Cruise; Island; Food,An overnight backpacking trip on a volcano,2,Female,Yes,7,6,3,5,2,Costa Rica,Mexico/Costa Rica/El Salvador
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history,Budget,Sightsee; Beach; Relax,An all-inclusive resort,5,Male,Yes,4,6,3,3,2,Cuba,Carribean Islands
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Family; Beach; Scuba Dive,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,7,4,Curacao,Carribean Islands
To go on an adventure,Budget,City; Bars; Museum,An all-inclusive resort,4,Male,Yes,7,3,3,6,3,Czech Republic,Czech Republic/Hungary
To look at and appreciate beautiful places,Variety of activities at destination,Food; Sightsee,An overnight backpacking trip on a volcano,4,Female,Yes,6,5,5,6,5,Czech Republic,Czech Republic/Hungary
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home; FOOD,Budget,Food; Clubbing; City,An old city with interesting architecture,3,Female,Yes,4,5,4,5,7,Czech Republic,Czech Republic/Hungary
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Time,Snorket; Hike; Wildlife; Food; Vegetation; Farm; Islands,An overnight backpacking trip on a volcano,2,Female,Yes,6,5,4,4,2,Ecaudor,Colombia/Ecuador
To meet new people; To see the wonders of nature; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Budget,Family; History; Beach; Food; Museum; Cinema,A hang gliding ride over a lush field,4,Male,Yes,4,4,4,4,3,Egypt,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Family; Road Trips,An all-inclusive resort,4,Male,Yes,4,5,3,6,6,El Salvador,Mexico/Costa Rica/El Salvador
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Aesthetic of destination,Scube Dive; Food,An overnight backpacking trip on a volcano,3,Male,Yes,6,3,7,4,2,Fiji,Carribean Islands
To look at and appreciate beautiful places,Budget,Tourist Attractions; Food,A big metropolitan city,3,Male,Yes,2,4,2,5,5,France,France
To meet new people,Variety of activities at destination,Concert; Sightsee; Art Gallery; Museum; Food,An old city with interesting architecture,3,Female,Yes,7,3,4,5,5,France,France
To relax and escape work and responsibilities; To spend quality time with family/friends; To look at and appreciate beautiful places,Variety of activities at destination,Sightsee; Museum; Football; Shop,An all-inclusive resort,3,Female,Yes,3,3,2,2,4,France,France
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To go on an adventure; To look at and appreciate beautiful places,Proximity to nature,City; Nightlife; Bars; Science Center; Ski; Countryside,An overnight backpacking trip on a volcano,4,Female,Yes,6,2,5,7,4,Germany,Germany
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,History; Food; Photography; Friends; Tourist Attractions; Family,An old city with interesting architecture,4,Male,Yes,6,7,6,5,6,Germany,Germany
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Budget,Food; Culture; History; Clubbing,An overnight backpacking trip on a volcano,2,Female,Yes,5,2,5,6,4,Germany,Germany
To see the wonders of nature; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Proximity to nature,Hike; Swim; Pool; Surf; Helicopter Ride,An overnight backpacking trip on a volcano,2,Male,Yes,4,6,2,5,6,Hawaii,Carribean Islands
To see the wonders of nature; To learn more about a language or a culture; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Time,Surf; Hike; Snorkel; Nature,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,3,3,5,Hawaii,Carribean Islands
To see the wonders of nature; To learn more about a language or a culture; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Beach; History; Hike; Surf; Food; Island,An overnight backpacking trip on a volcano,4,Female,Yes,6,7,3,4,6,Hawaii,Carribean Islands
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Budget,Volunteer; Sightsee; Camp; Swim; Snorkel,An old city with interesting architecture,3,Female,Yes,5,4,7,6,4,Hawaii,Carribean Islands
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; Discover new cuisines,Variety of activities at destination,History; Party; Food,An old city with interesting architecture,5,Male,Yes,7,2,5,7,1,Hungary,Czech Republic/Hungary
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home; ART and ENERGY,Aesthetic of destination,Hike,An overnight backpacking trip on a volcano,2,Non-Binary,Yes,7,7,5,4,4,Iceland,Canada/Iceland/Russia
To see the wonders of nature; To relax and escape work and responsibilities; To go on an adventure; To look at and appreciate beautiful places,Budget,Hike; Snorkel; Drive; Camp,An all-inclusive resort,2,Female,Yes,6,6,5,5,2,Iceland,Canada/Iceland/Russia
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Waterfalls; Hike; Drive; Rivers; Climb; Glacier; Food,An overnight backpacking trip on a volcano,5,Female,Yes,5,6,4,6,4,Iceland,Canada/Iceland/Russia
To see the wonders of nature,Variety of activities at destination,Sightsee; Food; Hike,An all-inclusive resort,2,Male,No,7,7,5,7,5,India,Pakistan/India/Nepal
To go on an adventure,Variety of activities at destination,Surf; Swim; Pool; Hike; Nature,A relaxing day at the beach,2,Female,Yes,6,5,6,7,3,Indonesia,Indonesia/Malaysia/Philippines
To relax and escape work and responsibilities; To go on an adventure,Aesthetic of destination,Hike; Swim; Surf; Meet Locals,An overnight backpacking trip on a volcano,5,Male,No,5,5,3,3,3,Indonesia,Indonesia/Malaysia/Philippines
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Aesthetic of destination,Explore; Culture; Architecture; Food,An old city with interesting architecture,3,Female,Yes,6,5,6,7,5,Ireland,United Kingdom/Ireland
To see the wonders of nature; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Time,City,An old city with interesting architecture,4,Male,No,4,5,4,5,3,Italy,Italy/Malta
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Food; Sightsee; Walk; Photography,A relaxing day at the beach,4,Male,Yes,6,2,4,5,5,Italy,Italy/Malta
To meet new people; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places; Art museums/galleries,Budget,Swim; Hike; Sightsee; Eat,An old city with interesting architecture,4,Male,Yes,7,5,6,4,5,Italy,Italy/Malta
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Proximity to nature,Hike; Food; Sightsee,An overnight backpacking trip on a volcano,3,Female,Yes,5,5,3,5,3,Italy,Italy/Malta
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Budget,Hike; Explore; City; Food; Gelatto; Swim; Ocean; Shop; Sunbath,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy,Italy/Malta
To go on an adventure,Budget,Hike; Swim; Tan; Photography; City,An old city with interesting architecture,2,Female,Yes,5,5,5,4,4,Italy,Italy/Malta
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To spend quality time with family/friends; To look at and appreciate beautiful places,Variety of activities at destination,Swim; Boat Trip; Wine Tasting; Cycle; Road Trip; History; Landmarks; Churches; Food,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy,Italy/Malta
To learn more about a language or a culture,Budget,City; Rural Heritage; Transit; Temple,An old city with interesting architecture,4,Male,Yes,7,4,5,6,4,Japan,Japan/South Korea
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Budget,Temple; Food; Shop,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan,Japan/South Korea
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Travel group size,Food; Temple; Photography; Nature,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan,Japan/South Korea
To go on an adventure,Aesthetic of destination,Safari; Desert; Bedouin Camp,An old city with interesting architecture,4,Male,Yes,5,6,6,3,5,Jordan,Egypt/Jordan/Lebanon
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Proximity to nature,Volunteer; Markets; Safaris; Culture,An old city with interesting architecture,4,Male,No,5,3,5,6,5,Kenya,South Africa/Kenya/Namibia
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Budget,Swim; Eat; Walk; Explore; City; Meet Locals,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Lebanon,Egypt/Jordan/Lebanon
To learn more about a language or a culture; To spend quality time with family/friends; To explore architecture and history; To look at and appreciate beautiful places,Budget,Market; Street Food; Walk; City; Road Trip; Festival; Zoo; Bar; Karaoke,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Malaysia,Indonesia/Malaysia/Philippines
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Variety of activities at destination,Family; Sightsee; Food,An overnight backpacking trip on a volcano,4,Male,Yes,6,2,5,4,6,Malta,Italy/Malta
To meet new people; To see the wonders of nature; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Budget,Food; History; Party; Beach,An all-inclusive resort,3,Male,Yes,5,4,6,7,4,Malta,Italy/Malta
To go on an adventure,Variety of activities at destination,City; Beach; Pool; Hike,An old city with interesting architecture,2,Female,No,6,4,3,4,6,Mexico,Mexico/Costa Rica/El Salvador
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Time,Golf; Party; Relax,A big metropolitan city,5,Male,No,5,7,4,7,2,Mexico,Mexico/Costa Rica/El Salvador
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Time,Golf; Party; Food; Beach,A relaxing day at the beach,4,Male,No,6,7,6,5,2,Mexico,Mexico/Costa Rica/El Salvador
To meet new people; To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Variety of activities at destination,Hike; Museum; Street Food,An overnight backpacking trip on a volcano,3,Male,Yes,6,7,5,5,4,Mexico,Mexico/Costa Rica/El Salvador
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Budget,Road Trip; Sightsee; Sandboard; Extreme Sports,A relaxing day at the beach,3,Female,Yes,5,7,2,6,6,Morocco,Morocco/Tunisia/Senegal
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Budget,Camel Ride; Hike; Food,An overnight backpacking trip on a volcano,4,Male,Yes,6,5,4,5,3,Morocco,Morocco/Tunisia/Senegal
To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure,Budget,Safaris; Landscapes,An overnight backpacking trip on a volcano,4,Female,Yes,5,4,6,5,3,Namibia,South Africa/Kenya/Namibia
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Time,Volunteer; Family,An old city with interesting architecture,1,Male,Yes,6,5,3,5,3,Nepal,Pakistan/India/Nepal
To see the wonders of nature,Variety of activities at destination but more specifically what climbing is in that area,Climb; Explore; Nature,An overnight backpacking trip on a volcano,2,Male,Yes,4,5,2,3,2,Netherlands,Netherlands
To meet new people; To see the wonders of nature; To spend quality time with family/friends; To explore architecture and history,Variety of activities at destination,Museum; Sightsee; Bars; Food,A hang gliding ride over a lush field,4,Male,Yes,5,6,5,7,2,New York,United States
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Broadway; Museum; Food; Park; Nightlife,A big metropolitan city,4,Male,Yes,5,3,7,5,6,New York,United States
To see the wonders of nature; To learn more about a language or a culture; To spend quality time with family/friends; To explore architecture and history; To look at and appreciate beautiful places,Time,Friends; Theatre; Architecture; Clubbing,An old city with interesting architecture,2,Male,No,6,2,5,6,2,New York,United States
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To look at and appreciate beautiful places,Variety of activities at destination,Tourist Attractions; Food,A big metropolitan city,3,Male,Yes,2,5,3,7,2,New York,United States
To see the wonders of nature; To spend quality time with family/friends; To go on an adventure,Variety of activities at destination,Tourist Attractions; Party; Food,An overnight backpacking trip on a volcano,4,Male,No,6,4,5,4,2,New Zealand,Australia/New Zealand
To look at and appreciate beautiful places,Aesthetic of destination,Hike; Kayak; Museum,An overnight backpacking trip on a volcano,4,Female,Yes,5,4,5,5,7,Norway,Sweden/Norway
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Time,Hike; Northern Lights; Drive,An overnight backpacking trip on a volcano,2,Female,Yes,6,4,3,5,3,Norway,Sweden/Norway
To learn more about a language or a culture,Time,Hike; Cook; Explore; Meet Locals; Food,A relaxing day at the beach,4,Male,Yes,5,6,3,6,3,Norway,Sweden/Norway
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure,Aesthetic of destination,Relax,A relaxing day at the beach,4,Male,No,7,6,6,4,3,Pakistan,Pakistan/India/Nepal
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Proximity to nature,Hike; Friends,An old city with interesting architecture,5,Female,No,7,6,5,5,6,Pakistan,Pakistan/India/Nepal
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To look at and appreciate beautiful places,Aesthetic of destination,Ski; Snow Hike,An all-inclusive resort,5,Male,Yes,7,7,7,7,1,Pakistan,Pakistan/India/Nepal
To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure,Time,Food; Hike,An overnight backpacking trip on a volcano,5,Male,No,5,2,5,6,3,Pakistan,Pakistan/India/Nepal
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Budget,Tea; Mountains,A relaxing day at the beach,2,Female,Yes,5,6,3,3,7,Pakistan,Pakistan/India/Nepal
To meet new people; To relax and escape work and responsibilities; To go on an adventure; To look at and appreciate beautiful places,Aesthetic of destination,Hike; Sightsee,An overnight backpacking trip on a volcano,5,Female,No,7,2,5,5,5,Pakistan,Pakistan/India/Nepal
To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure,Time,Food; Hike,An overnight backpacking trip on a volcano,5,Male,No,5,2,5,6,3,Pakistan,Pakistan/India/Nepal
To meet new people; To learn more about a language or a culture; To go on an adventure,Budget,Boat Tour; Hike; Scuba Dive,An overnight backpacking trip on a volcano,4,Female,No,6,3,5,6,3,Philippines,Indonesia/Malaysia/Philippines
To see the wonders of nature; To learn more about a language or a culture; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Budget,Sightsee; Family,A big metropolitan city,4,Male,Yes,6,4,6,7,3,Philippines,Indonesia/Malaysia/Philippines
To learn more about a language or a culture,Budget,Tourist Attractions; Food; Transit; Cruise,A relaxing day at the beach,3,Male,Yes,7,2,5,3,2,Portugal,Spain/Portugal
To learn more about a language or a culture; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Budget,History; Museum; Party; Culture,An old city with interesting architecture,3,Female,Yes,6,3,6,5,4,Russia,Canada/Iceland/Russia
To relax and escape work and responsibilities,Budget,Banana Plantation; Sulfur Spring; Waterfall; Mud Bath,An all-inclusive resort,5,Female,Yes,5,6,5,4,6,Saint Lucia,Carribean Islands
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To look at and appreciate beautiful places,Budget,Food; Landscapes; Shop,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,Scotland,United Kingdom/Ireland
To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Safety,Volunteer,An overnight backpacking trip on a volcano,2,Male,Yes,5,6,4,7,1,Senegal,Morocco/Tunisia/Senegal
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Vineyars; Safari; Surf; Hike; Island; Road Trip; Zip Line,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa,South Africa/Kenya/Namibia
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Variety of activities at destination,Food; Shop; Street Food; Sightsee; Photography,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,South Korea,Japan/South Korea
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Budget,Family; Explore; Culture,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,South Korea,Japan/South Korea
To learn more about a language or a culture,Variety of activities at destination,Architecture; Museum; Walk; Art Gallery,An overnight backpacking trip on a volcano,2,Female,Yes,7,6,5,5,5,Spain,Spain/Portugal
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Time,Park; Food; History; Landmark; Tourist Attractions; City; Beach,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain,Spain/Portugal
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Food; History; Landmark; Tourist Attractions; Seaside; Walk; Old Town; Sunshine,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain,Spain/Portugal
To learn more about a language or a culture; To go on an adventure; To climb,Time,Climb,An overnight backpacking trip on a volcano,1,Male,No,7,5,3,6,3,Spain,Spain/Portugal
To learn more about a language or a culture; To explore architecture and history; To go on an adventure,Variety of activities at destination,Walk; Tourist Atractions; Food; Museum,An old city with interesting architecture,3,Male,Yes,7,4,6,5,3,Sweden,Sweden/Norway
To look at and appreciate beautiful places,Budget,Snowboard; Hike; Food; Road Trip; Countryside,An overnight backpacking trip on a volcano,2,Male,Yes,6,6,4,3,2,Switzerland,Switzerland
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Budget,Walk; UN Headquarter; Landmark; Friends,An overnight backpacking trip on a volcano,2,Female,Yes,4,3,3,3,3,Switzerland,Switzerland
To meet new people; To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Aesthetic of destination,Hike; Transit; Cottage; Friends; Road Trip; Chocolae Factory,An all-inclusive resort,3,Female,Yes,3,7,3,1,6,Switzerland,Switzerland
To see the wonders of nature; To learn more about a language or a culture; To go on an adventure; To look at and appreciate beautiful places,Budget,Hike; Food,A relaxing day at the beach,3,Male,No,5,6,3,6,5,Switzerland,Switzerland
To relax and escape work and responsibilities,Time,Culture,An overnight backpacking trip on a volcano,1,Male,No,5,5,3,1,3,Switzerland,Switzerland
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To go on an adventure; To look at and appreciate beautiful places,Proximity to nature,Cycle,An overnight backpacking trip on a volcano,1,Female,Yes,5,4,3,6,2,Taiwan,China/Taiwan
To spend quality time with family/friends; To explore architecture and history; To go on an adventure,Aesthetic of destination,Sightsee; Scuba Dive,A big metropolitan city,3,Male,Yes,6,1,5,7,5,Taiwan,China/Taiwan
To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Overall quality of general experience,School; Visit Surrounding Areas,An old city with interesting architecture,4,Male,No,6,6,6,6,5,Thailand,Vietnam/Cambodia/Thailand
